symbol,identifier,series,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep
SRD,SRDEQN,EQ,,0,0.95,1.95,48.75,0,0,-,91.0,39.15,49.7
SHAKTIPUMP,SHAKTIPUMPEQN,EQ,,0,9.3,1.95,476.7,0,0,-,1049.0,460.0,486.0
ALPHAGEO,ALPHAGEOEQN,EQ,,0,4.0,1.95,205.25,0,0,-,298.0,190.87,209.25
JMFINANCIL,JMFINANCILEQN,EQ,,0,2.26,1.95,115.73,0,0,-,199.8,80.2,117.99
BEPL,BEPLEQN,EQ,,0,1.5,1.94,77.3,0,0,-,123.8,74.2,78.8
FORCEMOT,FORCEMOTEQN,EQ,,0,400.0,1.94,20650.0,0,0,-,26450.0,7000.0,21050.0
BLUSPRING,BLUSPRINGEQN,EQ,,0,0.95,1.94,48.85,0,0,-,100.88,47.51,49.8
YASHO,YASHOEQN,EQ,,0,27.8,1.93,1440.9,0,0,-,2172.0,1130.0,1468.7
ECOSMOBLTY,ECOSMOBLTYEQN,EQ,,0,2.63,1.93,136.07,0,0,-,358.4,125.0,138.7
POCL,POCLEQN,EQ,,0,20.2,1.93,1048.3,0,0,-,1578.0,490.0,1068.5
ASKAUTOLTD,ASKAUTOLTDEQN,EQ,,0,7.35,1.93,380.1,0,0,-,578.5,372.55,387.45
KINGFA,KINGFAEQN,EQ,,0,78.1,1.92,4071.9,0,0,-,4880.0,2550.0,4150.0
SOMANYCERA,SOMANYCERAEQN,EQ,,0,6.5,1.92,338.5,0,0,-,624.0,333.0,345.0
GAUDIUMIVF,GAUDIUMIVFBEN,BE,,0,1.41,1.92,73.59,0,0,-,87.15,72.02,75.0
DIGIDRIVE,DIGIDRIVEEQN,EQ,,0,0.39,1.91,20.46,0,0,-,36.85,20.02,20.85
SHYAMCENT,SHYAMCENTEQN,EQ,,0,0.09,1.91,4.7,0,0,-,10.42,4.61,4.79
SARDAEN,SARDAENEQN,EQ,,0,10.3,1.91,539.65,0,0,-,639.75,396.6,549.95
MRF,MRFEQN,EQ,,0,2575.0,1.91,134925.0,0,0,-,163600.0,104800.0,137500.0
ASTERDM,ASTERDMEQN,EQ,,0,12.6,1.91,658.3,0,0,-,732.2,414.95,670.9
NDLVENTURE,NDLVENTUREEQN,EQ,,0,2.14,1.91,112.21,0,0,-,134.0,48.94,114.35
TENNIND,TENNINDEQN,EQ,,0,9.9,1.9,522.1,0,0,-,602.0,438.05,532.0
SIEMENS,SIEMENSEQN,EQ,,0,61.1,1.89,3228.9,0,0,-,5520.0,2450.0,3290.0
TVSELECT,TVSELECTEQN,EQ,,0,6.45,1.89,341.4,0,0,-,739.35,274.0,347.85
IRCTC,IRCTCEQN,EQ,,0,10.2,1.89,539.8,0,0,-,820.25,535.2,550.0
ADANIENSOL,ADANIENSOLEQN,EQ,,0,18.5,1.89,981.4,0,0,-,1067.7,738.0,999.9
OMFREIGHT,OMFREIGHTEQN,EQ,,0,1.49,1.89,78.66,0,0,-,107.4,76.45,80.15
AVL,AVLEQN,EQ,,0,8.65,1.88,460.15,0,0,-,598.7,327.6,468.8
PCBL,PCBLEQN,EQ,,0,5.05,1.88,268.95,0,0,-,444.15,254.5,274.0
CHAMBLFERT,CHAMBLFERTEQN,EQ,,0,7.75,1.88,412.25,0,0,-,742.2,409.1,420.0
SHARDAMOTR,SHARDAMOTREQN,EQ,,0,15.3,1.88,813.0,0,0,-,1248.0,625.0,828.3
DEVX,DEVXEQN,EQ,,0,0.72,1.88,38.27,0,0,-,64.05,34.0,38.99
WIPL,WIPLEQN,EQ,,0,2.84,1.87,152.06,0,0,-,193.2,133.1,154.9
ELECTCAST,ELECTCASTEQN,EQ,,0,1.14,1.87,61.1,0,0,-,138.75,60.15,62.24
SCI,SCIEQN,EQ,,0,4.35,1.87,232.65,0,0,-,280.5,145.0,237.0
SUMEETINDS,SUMEETINDSEQN,EQ,,0,0.54,1.87,28.95,0,0,-,40.5,10.66,29.49
IVC,IVCEQN,EQ,,0,0.13,1.86,6.99,0,0,-,10.53,6.98,7.12
JAYSREETEA,JAYSREETEAEQN,EQ,,0,1.39,1.86,74.56,0,0,-,122.71,72.91,75.95
OLECTRA,OLECTRAEQN,EQ,,0,16.55,1.86,891.15,0,0,-,1714.2,874.1,907.7
ACCELYA,ACCELYAEQN,EQ,,0,22.0,1.85,1186.2,0,0,-,1527.0,1140.0,1208.2
