Unnamed: 0,Symbol,PREV. CLOSE,IEP,Chng,%Chng,Final,Final Quantity,Value(₹ Crores),NM 52w H,NM 52w L,Unnamed: 11
,GHCLTEXTIL,72.28,71.89,-0.39,-0.54,71.89,1325,0.01,99.00,65.00,
,PDSL,295.1,293.5,-1.6,-0.54,293.5,233,0.01,466.00,285.00,
,STCINDIA,109.59,109.0,-0.59,-0.54,109.0,10,0.00,168.45,104.11,
,UTKARSHBNK,13.07,13.0,-0.07,-0.54,13.0,64782,0.08,23.93,12.37,
,ALKEM,5530.0,5500.0,-30.0,-0.54,5500.0,39,0.02,5933.50,4608.00,
,NDLVENTURE,112.61,112.0,-0.61,-0.54,112.0,31,0.00,134.00,48.94,
,DHANUKA,985.4,980.0,-5.4,-0.55,980.0,211,0.02,1975.00,948.90,
,AHCL,116.64,116.0,-0.64,-0.55,116.0,3327,0.04,172.75,90.78,
,VISHNU,486.65,483.95,-2.7,-0.55,483.95,245,0.01,595.80,336.00,
,TASTYBITE,6988.0,6948.0,-40.0,-0.57,6948.0,3,0.00,11958.00,6563.50,
,PRAJIND,304.65,302.9,-1.75,-0.57,302.9,8124,0.25,588.45,273.00,
,METROPOLIS,1790.2,1780.0,-10.2,-0.57,1780.0,163,0.03,2263.00,1315.00,
,BLBLIMITED,17.55,17.45,-0.1,-0.57,17.45,434,0.00,22.47,12.00,
,IMPAL,1027.1,1021.1,-6.0,-0.58,1021.1,80,0.01,1184.50,899.80,
,TBOTEK,1183.4,1176.5,-6.9,-0.58,1176.5,195,0.02,1764.80,996.00,
,PROZONER,45.52,45.25,-0.27,-0.59,45.25,38,0.00,72.77,27.30,
,QUADFUTURE,289.75,288.0,-1.75,-0.6,288.0,726,0.02,604.75,248.55,
,DOLATALGO,76.26,75.8,-0.46,-0.6,75.8,724,0.01,111.05,68.00,
,ZOTA,1198.2,1191.0,-7.2,-0.6,1191.0,295,0.04,1740.00,752.00,
,SKFINDUS,2344.0,2330.0,-14.0,-0.6,2330.0,9,0.00,2766.00,2251.00,
,KIRLPNU,1157.0,1150.1,-6.9,-0.6,1150.1,329,0.04,1550.00,959.00,
,WHEELS,880.25,875.0,-5.25,-0.6,875.0,756,0.07,978.50,567.90,
,TREEHOUSE,8.39,8.34,-0.05,-0.6,8.34,46,0.00,15.48,6.19,
,ELECTHERM,664.55,660.5,-4.05,-0.61,660.5,30,0.00,1280.40,612.70,
,UNIVCABLES,678.35,674.2,-4.15,-0.61,674.2,95,0.01,1008.00,407.25,
,REPCOHOME,362.1,359.9,-2.2,-0.61,359.9,701,0.03,464.45,310.00,
,ORISSAMINE,3809.1,3786.0,-23.1,-0.61,3786.0,48,0.02,6138.90,3618.20,
,GHCL,459.85,457.0,-2.85,-0.62,457.0,706,0.03,670.00,444.90,
,CARYSIL,864.4,859.0,-5.4,-0.62,859.0,125,0.01,1071.90,490.00,
,AEGISLOG,664.1,660.0,-4.1,-0.62,660.0,967,0.06,946.50,639.10,
,AGIIL,299.95,298.05,-1.9,-0.63,298.05,2255,0.07,317.20,137.00,
,RBA,63.25,62.85,-0.4,-0.63,62.85,3382,0.02,89.50,59.40,
,RAMASTEEL,6.34,6.3,-0.04,-0.63,6.3,42743,0.03,14.90,5.86,
,MAZDA,195.23,194.0,-1.23,-0.63,194.0,2,0.00,337.77,185.56,
,AURUM,167.47,166.4,-1.07,-0.64,166.4,395,0.01,225.70,144.40,
,VERTOZ,40.81,40.55,-0.26,-0.64,40.55,186,0.00,112.00,40.00,
,HLVLTD,7.8,7.75,-0.05,-0.64,7.75,2407,0.00,15.75,6.68,
,KOTHARIPET,110.71,110.0,-0.71,-0.64,110.0,78,0.00,191.95,103.98,
,GOCLCORP,248.6,247.0,-1.6,-0.64,247.0,19,0.00,417.50,240.30,
,CAPLIPOINT,1664.8,1654.0,-10.8,-0.65,1654.0,255,0.04,2395.00,1599.00,
,FCSSOFT,1.55,1.54,-0.01,-0.65,1.54,38672,0.01,3.05,1.46,
,UNIPARTS,458.3,455.3,-3.0,-0.65,455.3,330,0.02,543.95,296.65,
,CASTROLIND,186.82,185.6,-1.22,-0.65,185.6,27155,0.50,251.95,180.66,
,EPACK,238.16,236.59,-1.57,-0.66,236.59,1567,0.04,421.35,216.50,
,SGL,10.67,10.6,-0.07,-0.66,10.6,2000,0.00,20.79,10.04,
,PSPPROJECT,684.5,680.0,-4.5,-0.66,680.0,457,0.03,1029.90,620.75,
,ICICIPRULI,614.05,610.0,-4.05,-0.66,610.0,1212,0.07,706.80,525.80,
,RADAAN,3.02,3.0,-0.02,-0.66,3.0,991,0.00,5.37,2.71,
,JSLL,605.0,601.0,-4.0,-0.66,601.0,375,0.02,849.50,313.00,
,AZAD,1610.8,1600.0,-10.8,-0.67,1600.0,1217,0.19,1899.00,1159.45,
,PROTEAN,540.65,537.0,-3.65,-0.68,537.0,974,0.05,1484.50,522.90,
,PODDARMENT,221.92,220.4,-1.52,-0.68,220.4,548,0.01,334.80,212.01,
,GRINDWELL,1568.8,1558.2,-10.6,-0.68,1558.2,83,0.01,1884.00,1448.60,
,NAHARSPING,197.34,196.0,-1.34,-0.68,196.0,1,0.00,309.00,149.20,
,GLAXO,2517.3,2500.0,-17.3,-0.69,2500.0,111,0.03,3515.70,2220.30,
,ENDURANCE,2451.8,2435.0,-16.8,-0.69,2435.0,270,0.07,3079.90,1700.00,
,TINNARUBR,643.45,639.0,-4.45,-0.69,639.0,12308,0.79,1088.85,606.00,
,EIEL,140.98,140.0,-0.98,-0.7,140.0,6922,0.10,306.40,134.71,
,FIEMIND,2094.7,2080.0,-14.7,-0.7,2080.0,193,0.04,2555.30,1255.10,
,ASALCBR,765.35,760.0,-5.35,-0.7,760.0,376,0.03,1477.95,737.00,
,ORCHPHARMA,508.55,505.0,-3.55,-0.7,505.0,222,0.01,979.95,489.00,
,SHARDAMOTR,830.85,825.0,-5.85,-0.7,825.0,164,0.01,1248.00,625.00,
,SUMICHEM,395.25,392.5,-2.75,-0.7,392.5,613,0.02,665.00,380.60,
,FINEORG,4276.6,4246.6,-30.0,-0.7,4246.6,84,0.04,5494.00,3600.15,
,KANSAINER,189.19,187.85,-1.34,-0.71,187.85,1463,0.03,271.18,180.25,
,SUNDARAM,1.4,1.39,-0.01,-0.71,1.39,16577,0.00,2.46,1.13,
,SSDL,60.43,60.0,-0.43,-0.71,60.0,50,0.00,108.00,58.10,
,ROUTE,478.45,475.05,-3.4,-0.71,475.05,778,0.04,1158.00,460.35,
,MEDIASSIST,323.3,321.0,-2.3,-0.71,321.0,807,0.03,594.10,298.25,
,PLASTIBLEN,138.0,137.0,-1.0,-0.72,137.0,1,0.00,230.00,133.01,
,EXPLEOSOL,758.6,753.15,-5.45,-0.72,753.15,41,0.00,1370.90,725.00,
,ASTRAL,1689.2,1677.0,-12.2,-0.72,1677.0,1925,0.32,1705.20,1232.30,
,NCC,141.02,140.0,-1.02,-0.72,140.0,9866,0.14,242.15,135.00,
,WIPRO,195.4,194.0,-1.4,-0.72,194.0,83079,1.61,292.00,193.03,
,HONAUT,29965.0,29750.0,-215.0,-0.72,29750.0,22,0.07,41450.00,29385.00,
,ELLEN,215.45,213.9,-1.55,-0.72,213.9,849,0.02,637.70,203.91,
,KOTYARK,300.15,298.0,-2.15,-0.72,298.0,200,0.01,530.00,191.20,
,CENTURYPLY,705.05,700.0,-5.05,-0.72,700.0,80,0.01,859.00,650.00,
,SUPRAJIT,425.35,422.25,-3.1,-0.73,422.25,486,0.02,517.65,350.00,
,STYRENIX,1864.7,1851.0,-13.7,-0.73,1851.0,3941,0.73,3498.00,1819.00,
,INTENTECH,94.7,94.0,-0.7,-0.74,94.0,200,0.00,149.90,79.50,
,LALPATHLAB,1360.0,1350.0,-10.0,-0.74,1350.0,202,0.03,1770.00,1175.78,
,KFINTECH,912.75,906.0,-6.75,-0.74,906.0,1664,0.15,1388.50,828.80,
,C2C,339.9,337.4,-2.5,-0.74,337.4,300,0.01,888.00,250.15,
,CAPILLARY,521.8,517.95,-3.85,-0.74,517.95,82,0.00,798.95,481.00,
,BAJAJHLDNG,10560.0,10481.0,-79.0,-0.75,10481.0,113,0.12,14763.00,10200.00,
,RATNAMANI,2365.7,2348.0,-17.7,-0.75,2348.0,61,0.01,3050.00,1936.50,
,BAJAJCON,371.8,369.0,-2.8,-0.75,369.0,1243,0.05,408.70,151.00,
,NCLIND,178.15,176.81,-1.34,-0.75,176.81,1,0.00,239.39,170.10,
,OSWALGREEN,25.19,25.0,-0.19,-0.75,25.0,168,0.00,50.90,23.65,
